ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.06141647,-0.71483386,1.996501,-0.44438007,2.1923535,0.57362825
0.067410514,-0.7149107,1.9785404,-0.40769634,2.2170987,0.60655797
0.06403204,-0.723162,1.9819,-0.4112791,2.2163122,0.59808785
0.06733272,-0.7248295,1.9697592,-0.38601094,2.2335405,0.61947984
0.06559777,-0.73105323,1.9695961,-0.38349047,2.2365088,0.6175803
0.061890613,-0.7395891,1.9737136,-0.3888968,2.2345788,0.60710186
0.058002368,-0.74751705,1.9788696,-0.39662322,2.2307885,0.59498155
0.047614444,-0.7630146,1.9939309,-0.42063984,2.214154,0.56254566
0.043572925,-0.7711555,1.998109,-0.4263979,2.209635,0.5510994
0.031084016,-0.7847392,2.015535,-0.45190138,2.1802814,0.5143225
0.029124368,-0.7801499,2.0262518,-0.47727665,2.167294,0.4977857
0.021692779,-0.78058493,2.0420003,-0.5069313,2.14163,0.4699616
0.015184534,-0.79584557,2.046131,-0.5099164,2.137239,0.45590404
-0.010959514,-0.81276774,2.0732412,-0.54067963,2.070059,0.39741254
-0.008921726,-0.8038908,2.0834107,-0.57581884,2.0689802,0.38524213
0.0006443206,-0.7924263,2.0740316,-0.56258786,2.0869896,0.4078182
0.033339523,-0.7612309,2.028974,-0.48848492,2.1589134,0.5013249
0.04015134,-0.75081694,2.020864,-0.47684747,2.1686804,0.51938605
0.053159136,-0.7350849,2.0019898,-0.44660437,2.1922562,0.5581333
0.054417577,-0.739304,1.995781,-0.43280753,2.2032332,0.5680222
0.048799407,-0.7521741,1.9997022,-0.43553028,2.201865,0.55662763
0.038379464,-0.76439315,2.0155969,-0.46177882,2.1809962,0.5238348
0.057147607,-0.75750476,1.9717762,-0.3795306,2.244344,0.6030132
0.06914627,-0.7417835,1.9452662,-0.33123714,2.273372,0.65582633
0.0795576,-0.7253019,1.9228021,-0.2905385,2.2950692,0.7027575
0.07803828,-0.7223512,1.9329967,-0.31212413,2.2807245,0.68613297
0.080584995,-0.7144753,1.9328467,-0.31487942,2.2769172,0.68896085
0.08982878,-0.70041287,1.9131125,-0.28034568,2.2941794,0.72833884
0.097690195,-0.6872313,1.8959919,-0.25039977,2.3075619,0.7630988
0.097045325,-0.68328476,1.9055984,-0.27243048,2.2936761,0.7463854
0.099931635,-0.6758023,1.9033669,-0.27132967,2.2919683,0.7521272
0.08874165,-0.6891837,1.9323716,-0.32544646,2.263605,0.6956409
0.08307612,-0.6991061,1.9420869,-0.34075022,2.256755,0.67588025
0.07866872,-0.71049625,1.9451525,-0.34175634,2.258975,0.6678736
0.088346586,-0.6967003,1.9245328,-0.3056214,2.2777915,0.7085196
0.07764274,-0.69925994,1.9609591,-0.37951997,2.2322435,0.64116347
0.10614925,-0.6606964,1.8681746,-0.18809514,2.2968721,0.82360417
0.10808969,-0.66591936,1.8713045,-0.20740691,2.3213565,0.8133464
0.10668442,-0.67091846,1.8694317,-0.2006666,2.3271058,0.8162614
0.10652379,-0.67364657,1.8635087,-0.18643199,2.3356822,0.8268838
0.10077952,-0.6854441,1.8787957,-0.21436805,2.326048,0.79518497
0.102813505,-0.68436486,1.8656838,-0.18667893,2.3401048,0.8195402
0.100389555,-0.6931736,1.8620584,-0.17563024,2.3495536,0.82284933
0.09164235,-0.70992434,1.8882492,-0.2251524,2.329791,0.76957166
0.09206621,-0.71248287,1.8788378,-0.20454215,2.3419898,0.7851002
0.0894171,-0.71414244,1.8653319,-0.16215004,2.3380334,0.8123673
0.10158316,-0.6953059,1.843587,-0.13551645,2.3712854,0.8549523
0.10472475,-0.6870157,1.8392934,-0.12903458,2.3708909,0.86635476
0.1140784,-0.6653256,1.8142539,-0.08308637,2.3831887,0.9200161
0.112596,-0.666117,1.8299005,-0.11703314,2.3669474,0.89077836
0.11497443,-0.6596138,1.8284855,-0.11716716,2.3635557,0.8947536
0.12205686,-0.64278954,1.8131177,-0.09201282,2.366937,0.9267736
0.123023376,-0.6385626,1.819161,-0.1078673,2.3571591,0.91568667
0.11458139,-0.65695167,1.8421482,-0.14859056,2.3467305,0.86943203
0.12250178,-0.64382917,1.8015478,-0.06561344,2.3800037,0.9487276
0.12152376,-0.6475435,1.7933339,-0.045196153,2.3913896,0.9636252
0.12233026,-0.6454156,1.7777532,-0.010660473,2.4050212,0.9939802
0.12679243,-0.63238794,1.7611618,0.021147529,2.4104147,1.0294001
0.13143778,-0.6184802,1.7422657,0.057466134,2.416427,1.0690736
0.13600138,-0.60575247,1.7345284,0.06711592,2.4118469,1.0850271
0.1398306,-0.59532756,1.731587,0.06656085,2.404651,1.0907857
0.13499473,-0.60961616,1.7536484,0.02449339,2.3972087,1.0463536
0.13489245,-0.61017656,1.7667402,-0.005939884,2.385149,1.0199178
0.12872458,-0.6269057,1.7884957,-0.045046262,2.379216,0.9769011
0.12990275,-0.6237295,1.7637533,0.010458196,2.4005086,1.0260948
0.12391004,-0.6401787,1.7557672,0.037412353,2.4221761,1.0376254
0.11916726,-0.65419704,1.7717532,0.0070418967,2.4180331,1.0026916
0.11470505,-0.66701454,1.7862554,-0.020407466,2.4138358,0.9711482
0.11779395,-0.658271,1.7901729,-0.032973472,2.40308,0.96673703
0.12482169,-0.6363362,1.739528,0.07327601,2.4346597,1.0700483
0.12928134,-0.62229,1.723456,0.10427771,2.4379735,1.1058135
0.13180698,-0.61566365,1.7235509,0.10002371,2.4317348,1.1066496
0.13904126,-0.59088093,1.6873766,0.17078859,2.4414518,1.1821015
0.13797738,-0.59119904,1.679081,0.19179536,2.449072,1.199535
0.14185712,-0.57135314,1.6472564,0.2578952,2.4564824,1.2684374
0.14410882,-0.5644895,1.6431402,0.26256725,2.452592,1.2768048
0.1453915,-0.5645846,1.6529251,0.23723856,2.4441888,1.2552234
0.14911501,-0.55196214,1.641483,0.25441614,2.4398756,1.2772837
0.15239668,-0.5369056,1.6199409,0.29525757,2.4409637,1.3211348
0.1494733,-0.5445375,1.6220235,0.2979205,2.4480472,1.3188916
0.15270285,-0.5275626,1.5961483,0.34864777,2.4500804,1.3724959
0.15630819,-0.5071605,1.5691023,0.39798418,2.4463031,1.4268178
0.15487842,-0.50211555,1.5525293,0.4380775,2.4525216,1.4643239
0.15292,-0.51137817,1.5627636,0.42211145,2.4565723,1.4454154
0.14911394,-0.527516,1.5782976,0.3979969,2.4642487,1.414709
